归属表,字段名称,标题名称,显示顺序,字典规则,显示类型,系统字段名,小数位,锁定,ValueRange
*,YBBDCDYH,预编不动产单元号,0,,0,,-1,1,
*,CHZT,测绘状态,0,,0,,-1,0,
*,GXZT,更新状态,0,,0,,-1,0,
*,CeLY,测量员,0,,0,,-1,0,
*,CeLRQ,测量日期,0,,0,,-1,0,
*,CeLDW,测量单位,0,,0,,-1,0,
*,JianCY,检查员,0,,0,,-1,0,
*,JianCRQ,检查日期,0,,0,,-1,0,
*,ZhiTY,制图员,0,,0,,-1,0,
*,ZhiTRQ,制图日期,0,,0,,-1,0,
*,ShenHR,审核人,0,,0,,-1,0,
*,ShenHRQ,审核日期,0,,0,,-1,0,
*,DiaoCR,调查者,0,,0,,-1,0,
*,DiaoCRQ,调查日期,0,,0,,-1,0,
*,道路性质,道路性质,0,1:快速路|2:主干路|3:次干路|4:支路|5:内部道路|6:专用道|7:其他,0,,-1,0,
*,路段类别,路段类别,0,1:多车道|2:环路|3:路段,0,,-1,0,
*,行政等级,行政等级,0,G、GZ:国道、国道主干线|S:省道|X:县道|Y:乡道|C:村道|Z:专用公路|Q:其他公路,0,,-1,0,
*,路面材料,路面材料,0,1:沥青混凝土|2:水泥混凝土|3:砂石路面,0,,-1,0,
*,通行限制,通行限制,0,1:专用|2:内部|3:人行|4:单行,0,,-1,0,
*,技术等级,技术等级,0,0:高速|1:一级|2:二级|3:三级|4:四级|9:等外,0,,-1,0,
*,图幅号,图幅号,0,,0,,-1,0,
*,更新方式,更新方式,0,0:直接修测更新|1:间接关联更新,0,,0,0,
*,行政区级别,行政区级别,0,1:省级|2:市级|3:区级|4:镇（街道）级|5:村委（居委）级,0,,-1,0,
*,区域类型,区域类型,0,0:权限区域|1:临时区域|2:热点区域,0,,-1,0,
*,热点类型,热点类型,0,001:基础地理|002:土地|003:矿产|004:地灾,0,,-1,0,
*,描述说明,描述说明,0,00:非海岛区域|01:海岛区域,0,,-1,0,
*,BCGDJFLY,补充耕地经费来源,0,,0,,-1,0,
*,BGJLB,变更记录表,0,,0,,-1,0,
*,BGJLH,变更记录号,0,,0,,-1,0,
*,BGQLXDWBSM,变更前零星地物标识码,0,,0,,-1,0,
*,BGQXZDWBSM,变更前线状地物标识码,0,,0,,-1,0,
*,BGRQ,变更日期,0,,0,,-1,0,
*,BGXW,变更行为,0,,0,,-1,0,
*,BHJSSJ,保护结束时间,0,,0,,-1,0,
*,BHJXCD,保护界线长度,0,,0,,-1,0,
*,BHJXLXDM,保护界线类型代码,0,01:基本农田保护区界线|02;基本农田保护片界线|03:基本农田保护块界线,0,,-1,0,
*,BHKBH,保护块编号,0,,0,,-1,0,
*,BHKSSJ,保护开始时间,0,,0,,-1,0,
*,BHPKBH,保护片（块）编号,0,,0,,-1,0,
*,BHQBH,保护区编号,0,,0,,-1,0,
*,BHRQ,变化日期,0,,0,,-1,0,
*,BSLX,标石类型,0,1:基岩标石|2:混凝土标石|3:普通标石|9:其他,0,,-1,0,
*,BSM,标识码,0,,0,,-1,0,
*,BZ,备注,0,,0,,-1,0,
*,BZDL,备注地类,0,,0,,-1,0,
*,BZLX,标志类型,0,1:铜标志|2:钢标志|3:刻十字标志|9:其他,0,,-1,0,
*,DGXLX,等高线类型,0,710101:首曲线|710102:计曲线|710103:间曲线,0,,-1,0,
*,DJH,地籍号,0,,0,,-1,0,
*,DLBM,地类编码,0,,0,,-1,0,
*,DLBZ,地类备注,0,,0,,-1,0,
*,DLJXLX,地类界线类型,0,1:同时为线状地物的地类界线|2:同时为行政和权属界线的地类界线|3:同时为线状地物、行政和权属界线的地类界线|4:水域边界线|9:其他,0,,-1,0,
*,DLMC,地类名称,0,{DLBM},0,,-1,0,
*,DZJ,点之记,0,,0,,-1,0,
*,FEIDI,是否飞地,0,,0,,-1,0,
*,FZMJ,发证面积,0,,0,,-1,0,
*,GDLX,耕地类型,0,,0,,-1,0,
*,GDMJ,耕地面积,0,,0,,-1,0,
*,GXCT,更新草图,0,,0,,-1,0,
*,GXSM,更新说明,0,,0,,-1,0,
*,JBNTLX,基本农田类型,0,YY:原有基本农田|BH:补划地块|HJ:核减地块,0,,-1,0,
*,JBNTMJ,基本农田面积,0,,0,,-1,0,
*,JBNTTBBH,基本农田图斑编号,0,,0,,-1,0,
*,JSMJ,计算面积,0,,0,,-1,0,
*,JXLX,界线类型,0,250200:海岸线|250201:大潮平均高潮线|250202:零米等深线|250203:江河入海口陆海分界线|620200:国界|630200:省、自治区、直辖市界|640200:地区、自治州、地级市界|650200:县、区、旗、县级市界|660200:街道、乡、（镇）界|670402:开发区、保税区界|670500:村界,0,,-1,0,
*,JXSM,界线说明,0,,0,,-1,0,
*,JXXZ,界线性质,0,600001:已定界|600002:未定界|600003:争议界|600004:工作界|600009:其他,0,,-1,0,
*,KCDLBM,扣除地类编码,0,,0,,-1,0,
*,KCLX,扣除类型,0,,0,,-1,0,
*,KFYQMC,开发园区名称,0,,0,,-1,0,
*,KFYQMJ,开发园区面积,0,,0,,-1,0,
*,KZDDH,控制点点号,0,,0,,-1,0,
*,ZLDWDM,坐落单位代码,0,,0,,-1,0,
*,ZLDWMC,坐落单位名称,0,,0,,-1,0,
*,KCBL,扣除比例,0,,0,,-1,0,
*,KZDDJ,控制点等级,0,110101:大地原点|110102:一等、二等、三等、四等、5秒、10秒，110103：一级、二级、三级，110104：一级、二级，110201：水准原点，110202：一等、二等、三等、四等、图根水准，110302：A、B、C、D、E,0,,-1,0,
*,KZDLX,控制点类型,0,110000:测量控制点|110100:平面控制点|110101:大地原点|110102:三角点|110103:图根点|110104:导线点|110200:高程控制点|110201:水准原点|110202:水准点|110300:卫星定位控制点|110302:卫星定位等级点,0,,-1,0,
*,KZDMC,控制点名称,0,,0,,-1,0,
*,KZMJ,控制面积,0,,0,,-1,0,
*,LXDWMJ,零星地物面积,0,,0,,-1,0,
*,MSSM,描述说明,0,00:非海岛区域|01:海岛区域,0,,-1,0,
*,PDJB,坡度级别,0,1:≤2°|2:（2°～6°]|3:（6°～15°]|4:（15°～25°]|5:＞25°,0,,-1,0,
*,PKJBNTMJ,基本农田保护片（块）面积,0,,0,EllipsoidArea,-1,0,
*,PZWH,批准文号,0,,0,,-1,0,
*,PZWJ,批准文件,0,,0,,-1,0,
*,PZWJH,批准文件号,0,,0,,-1,0,
*,QSDWDM,权属单位代码,0,,0,,-1,0,
*,QSDWMC,权属单位名称,0,,0,,-1,0,
*,QSXZ,权属性质,0,10:国有土地所有权|20:国有土地使用权|30:集体土地所有权|31:村民小组|32:村集体经济组织|33:乡集体经济组织|34:其它农民集体经济组织|40:集体土地使用权,0,,-1,0,
*,QSXZDM,权属性质代码,0,,0,,-1,0,
*,SCMJ,实测面积,0,,0,,-1,0,
*,SFBH,是否补划,0,,0,,-1,0,
*,SLBHLXDM,数量变化类型代码,0,1:增加|2:减少,0,,-1,0,
*,SLBHMJ,数量变化面积,0,,0,,-1,0,
*,SLBHYY,数量变化原因,0,,0,,-1,0,
*,TBBH,图斑编号,0,,0,,-1,0,
*,TBDLMJ,图斑地类面积,0,,0,,-1,0,
*,TBDLPMMJ,图斑地类平面面积,0,,0,,-1,0,
*,TBMJ,图斑面积,0,,0,,-1,0,
*,TBYBH,图斑预编号,0,,0,,-1,0,
*,TDFLBM,土地分类编码,0,,0,,-1,0,
*,TDSYQLX,土地使用权类型,0,11:划拨|12:出让|13:入股|14:租赁|15:授权经营|21:荒地拍卖|22:拨用宅基地|23:拨用企业用地|24:农用地承包|25:集体土地入股|99:其他,0,,-1,0,
*,TDYT,土地用途,0,,0,,-1,0,
*,THFS,跳绘方式,0,0:不跳绘|1:一侧跳|2:两侧跳,0,,-1,0,
*,THKD,跳绘宽度,0,,0,,-1,0,
*,TKMJ,扣除地类面积,0,,0,,-1,0,
*,TKXS,扣除地类系数,0,,0,,-1,0,
*,X54,X(E)_BJ54,0,,0,,-1,0,
*,X80,X(E)_XA80,0,,0,,-1,0,
*,XMGCBH,项目工程编号,0,,0,,-1,0,
*,XZDWMJ,线状地物面积,0,,0,,-1,0,
*,XZGDLX,新增耕地类型,0,,0,,-1,0,
*,XZJSYDLX,新增建设用地类型,0,,0,,-1,0,
*,XZQDM,行政区代码,0,,0,,-1,0,
*,XZQHJB,行政区划级别,0,,0,,-1,0,
*,XZQMC,行政区名称,0,,0,,-1,0,
*,Y54,Y(E)_BJ54,0,,0,,-1,0,
*,Y80,Y(E)_XA80,0,,0,,-1,0,
*,YSDM,要素代码,0,,0,,-1,0,
*,YWRSFZJL,义务人身份证件类型,0,1:居民身份证|2:军官证|3:护照|4:行政、企事业单位机构代码证或法人代码证|5:营业执照|9:其它,0,,-1,0,
*,Z54,Z_BJ54,0,,0,,-1,0,
*,Z80,Z_XA80,0,,0,,-1,0,
*,FeatureGUID,FeatureGUID,0,,0,,-1,1,
*,地籍号,地籍号,0,,0,,-1,1,
*,LCGUID,楼层GUID,0,,0,,-1,0,
*,HGUID,户GUID,0,,0,,-1,0,
*,ZDDM,宗地代码,0,,0,,-1,0,
*,BDCDYH,不动产单元号,0,,0,,-1,1,
*,ZRZH,自然幢号,0,,0,,-1,0,
*,YCDXMJ,预测地下面积,0,,0,,-1,0,
*,YCQTMJ,预测其他面积,0,,0,,-1,0,
*,SCQTMJ,实测其他面积,0,,0,,-1,0,
*,SCJZMJ,实测建筑面积,0,,0,,-1,0,
*,SCDXMJ,实测地下面积,0,,0,,-1,0,
*,FWJG1,房屋结构1,0,,0,,-1,0,
*,FWJG2,房屋结构2,0,,0,,-1,0,
*,FWJG3,房屋结构3,0,,0,,-1,0,
*,FWYT1,房屋用途1,0,,0,,-1,0,
*,FWYT2,房屋用途2,0,,0,,-1,0,
*,FWYT3,房屋用途3,0,,0,,-1,0,
*,JZWZT,建筑物状态,0,,0,,-1,0,
*,LJZH,逻辑幢号,0,,0,,-1,0,
*,QLLX,权利类型,0,,0,,-1,0,
*,QLXZ,权利性质,0,,0,,-1,0,
*,SYQXZ,所有权性质,0,,0,,-1,0,
*,SYQLX,所有权类型,0,,0,,-1,0,
*,GHYDBH,规划要点编号,0,,0,,-1,0,
*,SFSJGZ,是否三旧改造,0,0:是|1:否,0,,-1,0,
*,SFFSXC,是否佛山新城,0,0:是|1:否,0,,-1,0,
*,SJC,实际层,0,,0,,-1,0,
*,MYC,名义层,0,,0,,-1,0,
*,CZ,材质,0,,0,,-1,0,
*,WL,纹理,0,,0,,-1,0,
*,CH,层号,0,,0,,-1,0,
*,YCJZMJ,预测建筑面积,0,,0,,-1,0,
*,YCTNJZMJ,预测套内建筑面积,0,,0,,-1,0,
*,YCFTJZMJ,预测分摊建筑面积,0,,0,,-1,0,
*,YCDXBFJZMJ,预测地下部分建筑面积,0,,0,,-1,0,
*,QLLXNAME,权利类型名称,0,{QLLX},0,,-1,1,
*,QLXZNAME,权利性质名称,0,{QLXZ},0,,-1,1,
*,DYZZ,打印纸张,0,,0,,-1,0,
*,DYZZK,打印纸张宽,0,,0,,-1,0,
*,DYZZG,打印纸张高,0,,0,,-1,0,
*,DYFX,打印方向,0,,0,,-1,0,
*,DYZSX,打印范围左上X坐标,0,,0,,-1,0,
*,DYZSY,打印范围左上Y坐标,0,,0,,-1,0,
*,DYFWK,打印范围宽,0,,0,,-1,0,
*,DYFWG,打印范围高,0,,0,,-1,0,
*,LJZGUID,逻辑幢GUID,0,,0,,-1,0,
*,TDSYQSSJ,土地使用起始时间,0,,0,,-1,0,
*,TDSYJSSJ,土地使用结束时间,0,,0,,-1,0,
*,SYGN,使用功能,0,,0,,-1,0,
*,SCYTJZMJ,实测阳台建筑面积,0,,0,,-1,0,
*,YCYTJZMJ,预测阳台建筑面积,0,,0,,-1,0,
*,PZYT,批准用途,0,,0,,-1,0,
*,SJYT,实际用途,0,,0,,-1,0,
*,DYBLC,打印比例尺,0,,0,,-1,0,
*,GHJZMJ,规划建筑面积,0,,0,,-1,0,
*,GHTNJZMJ,规划套内建筑面积,0,,0,,-1,0,
*,GHGYJZMJ,规划共有建筑面积,0,,0,,-1,0,
*,GHJJMJ,规划建基面积,0,,0,,-1,0,
*,TNJZMJ,套内建筑面积,0,,0,,-1,0,
*,GYJZMJ,共有建筑面积,0,,0,,-1,0,
*,TFH,所在图幅,0,,0,,-1,0,
*,DJQDM,地籍区代码,0,,0,,-1,0,
*,DJQMC,地籍区名称,0,,0,,-1,0,
*,DJZQDM,地籍子区代码,0,,0,,-1,0,
*,DJZQMC,地籍子区名称,0,,0,,-1,0,
*,SFRHZLSJ,是否融合整理数据,0,,0,,-1,0,
*,RELATIONID,关联ID,0,,0,,-1,0,
*,FWJG,房屋结构,0,,0,,-1,0,
*,FWJGNAME,房屋结构名称,0,{FWJG},0,,-1,0,
*,YBDCDYH,原不动产单元号,0,,0,,-1,0,
*,YCDXJZMJ,预测地下建筑面积,0,,0,,-1,0,
*,YCQTJZMJ,预测其它建筑面积,0,,0,,-1,0,
*,YCGYJZMJ,预测共有建筑面积,0,,0,,-1,0,
*,SCDXJZMJ,实测地下建筑面积,0,,0,,-1,0,
*,SCQTJZMJ,实测其它建筑面积,0,,0,,-1,0,
*,SCTNJZMJ,实测套内建筑面积,0,,0,,-1,0,
*,SCGYJZMJ,实测共有建筑面积,0,,0,,-1,0,
*,YDFTXS,用地分摊系数,0,,0,,-1,0,
*,ZDGUID,宗地GUID,0,,0,,-1,0,
*,ZRZGUID,自然幢GUID,0,,0,,-1,0,
*,FWMC,房屋名称,0,,0,,-1,0,
*,CFLXNAME,查封类型名称,0,{CFLX},0,,-1,0,
*,FWJGNAME1,房屋结构名称1,0,,0,,-1,0,
*,FWJGNAME2,房屋结构名称2,0,{FWJG2},0,,-1,1,
*,FWJGNAME3,房屋结构名称3,0,{FWJG3},0,,-1,1,
*,FWYTNAME1,房屋用途名称1,0,{FWYT1},0,,-1,1,
*,FWYTNAME2,房屋用途名称2,0,{FWYT2},0,,-1,1,
*,FWYTNAME3,房屋用途名称3,0,{FWYT3},0,,-1,1,
*,JZWZTNAME,建筑物状态名称,0,{JZWZT},0,,-1,1,
*,BeiZ,备注,0,,0,,-1,0,
*,文件类型,文件类型,0,宗地拍照图片|控制点文件|其他证明文件,0,,-1,0,
*,CHZDH,测绘宗地号,0,,0,,-1,1,
*,CLDW,测量单位,0,,0,,-1,0,
*,CLY,测量员,0,,0,,-1,0,
*,CLRQ,测量日期,0,,0,,-1,0,
*,HTY,绘图员,0,,0,,-1,0,
*,HTRQ,绘图日期,0,,0,,-1,0,
*,JCY,检查员,0,,0,,-1,0,
*,JCRQ,检查日期,0,,0,,-1,0,
*,ZL,座落,0,,0,,-1,0,
*,ZHSHBW,主户室号部位,0,,0,,-1,0,
*,ZiHSHBW,子户室号部位,0,,0,,-1,0,
*,ZHZRZH,主户自然幢号,0,,0,,-1,0,
*,ZiHZRZH,子户自然幢号,0,,0,,-1,0,
*,区域标志,区域标志,2,1:佛山市|4:禅城区|5:南海区|6:顺德区|7:三水区|8:高明区,0,,-1,0,
*,面积计算系数,面积计算系数,2,0:不计算|0.5:计算一半|1:全计算,0,,-1,0,
*,水系类型,水系类型,7,1:江|2:河|3:湖|4:海|5:水库|6:有标志性意义的瀑布、井等,0,,-1,0,
*,水系级别,水系级别,7,0:干流(干)|1:一级|2:二级|3:三级|4:四级|5:其他,0,,-1,0,
*,状态,状态,28,现状|规划,0,,-1,0,
ZD_宗地基本信息属性表,ShangJGC,上界高程,0,,0,,-1,0,
