页号,章节/方法名,方法标识符,函数签名,说明
1,欢迎进入EPS脚本语言参考,,,欢迎进入EPS脚本语言参考 Online Help 欢迎进入 EPS 脚本语言参考 欢迎进入 EPS 脚本语言参考！ EPS 脚本语言遵循 VBScript 和 JScript 语言标准，支持用户二次开发，主要实现 EPS 平台数据整理，数据转换等处理。 SSProcess 是系统缺省定义的对象，是
2,脚本样例,,,脚本样例 Online Help 脚本样例 脚本样例
3,用户手册,,,用户手册 Online Help 用户手册 用户手册 什么是 VBScript 语言？ 什么是 JScript 语言？ 什么是 EPS 脚本语言？ 在 EPS 软件中使用脚本语言 EPS 脚本语言规则 EPS 脚本语言对象 EPS 脚本语言对象参考
4,什么是VBScript语言,,,什么是VBScript语言 Online Help 什么是 VBScript 语言 什么是 VBScript 语言 什么是 VBScript ？ Microsoft Visual Basic Scripting Edition 是程序开发语言 Visual Basic 家族的最新成员，它将灵活的脚本
5,什么是JScript语言,,,什么是JScript语言 Online Help 什么是 JScript 语言 什么是 JScript 语言！ 什么是 JScript ？ JScript 是 Microsoft 公司对 ECMA 262 语言规范（ ECMAScript 编辑器 3 ）的一种实现。除了少数例外（为了保持向后兼容），
6,什么是EPS脚本语言,,,什么是EPS脚本语言 Online Help 什么是 EPS 脚本语言 什么是 EPS 脚本语言 EPS 脚本语言遵循 VBScript 或 JScript 语言标准，支持用户二次开发，主要实现 EPS 平台数据整理，数据转换等处理。 SSProcess 是系统缺省定义的对象，是与 EPS 平台交互
7,在EPS软件中使用脚本语言,,,在EPS软件中使用脚本语言 Online Help 在 EPS 软件中使用脚本语言 在 EPS 软件中使用脚本语言 在 EPS 系统软件中可通过在命令行输入 Script 命令激活脚本编辑器，如下图： 脚本采用目录树方式组织脚本，支持新建脚本分组、删除脚本分组、新建脚本、删除脚本、保存脚本和执行脚本
8,EPS脚本语言规则,ClearSelection,SSProcess.ClearSelection,EPS脚本语言规则 Online Help EPS 脚本语言规则 EPS 脚本语言规则 脚本的入口函数为 OnClick() ，在一个脚本程序中必须定义 OnClick 函数 2) 脚本包括以下系统消息函数 BeforeSaveImportData() 在执行导入外部数据存库前激活 BeforeSa
9,EPS脚本语言对象,ClearSelection,SSProcess.ClearSelection,EPS脚本语言对象 Online Help EPS 脚本语言对象 EPS 脚本语言对象 SSProcess 是 EPS 脚本语言固有的对象，是与 EPS 平台交互的主要入口对象， SSProcess 对象的功能包括工程管理、选择集操作、图形编辑操作、数据整理、数据转换、坐标转换和系统设置等功能函数。
10,语言参考,,,语言参考 Online Help 语言参考 语言参考 SSProcess 对象参考 Function 对象参考 SSView 对象参考 SSArray 对象参考 SSParmeter 对象参考 SSFunc 对象参考 SSProject 对象参考 常用脚本函数
11,SSProcess对象参考,,,SSProcess对象参考 Online Help SSProcess 对象参考 SSProcess 对象参考 图形编辑操作 地模处理 工程管理函数 角度函数 数据检查 数据库操作 数据整理 数据转换 图幅操作 外部函数 系统设置 选择集操作 坐标转换函数 数学函数 系统设置函数 系统函数
12,图形编辑操作,,,图形编辑操作 Online Help 图形编辑操作 图形编辑操作 粘贴板对象加入到地图 AddClipBoardObjToMap 添加空间点到新图形对象 AddNewObjPoint 添加新创建图形对象到存库列表 AddNewObjToSaveObjList 添加新创建图形对象到选择集列表 AddN
13,粘贴板对象加入到地图,AddClipBoardObjToMap,"SSProcess.AddClipBoardObjToMap(insertPointX , insertPointY)","粘贴板对象加入到地图 Online Help 粘贴板对象加入到地图 AddClipBoardObjToMap 函数 AddClipBoardObjToMap 函数 粘贴板对象加入到地图。 SSProcess.AddClipBoardObjToMap(insertPointX , insertPoin"
14,添加空间点到新图形对象,AddNewObjPoint,"SSProcess.AddNewObjPoint( x, y, z, point type, name )","添加空间点到新图形对象 Online Help 添加空间点到新图形对象 AddNewObjPoint 函数 AddNewObjPoint 函数 添加空间点到新图形对象。 SSProcess.AddNewObjPoint( x, y, z, point type, name ) 参数 x 空间点 X "
15,添加新创建图形对象到存库列表,AddNewObjToSaveObjList,SSProcess.AddNewObjToSaveObjList(),添加新创建图形对象到存库列表 Online Help 添加新创建图形对象到存库列表 AddNewObjToSaveObjList 函数 AddNewObjToSaveObjList 函数 添加新创建图形对象到存库列表。 SSProcess.AddNewObjToSaveObjList() 参数 说明
16,添加新创建对象到选择集列表,AddNewObjToSelObjList,SSProcess.AddNewObjToSelObjList(),添加新创建对象到选择集列表 Online Help 添加新创建对象到选择集列表 AddNewObjToSelObjList 函数 AddNewObjToSelObjList 函数 添加新创建对象到选择集列表 SSProcess.AddNewObjToSelObjList() 参数 说明 执行该函数将
17,添加当前选择集指定地物到存库列表,AddSelGeoToSaveGeoList,SSProcess.AddSelGeoToSaveGeoList( index ),添加当前选择集指定地物到存库列表 Online Help 添加当前选择集指定地物到存库列表 AddSelGeoToSaveGeoList 函数 AddSelGeoToSaveGeoList 函数 添加当前选择集指定地物到存库列表。 SSProcess.AddSelGeoToSaveGeoList( 
18,添加当前选择集指定注记到存库列表,AddSelNoteToSaveNoteList,SSProcess.AddSelNoteToSaveNoteList( index ),添加当前选择集指定注记到存库列表 Online Help 添加当前选择集指定注记到存库列表 AddSelNoteToSaveNoteList 函数 AddSelNoteToSaveNoteList 函数 添加当前选择集指定注记到存库列表。 SSProcess.AddSelNoteToSaveNote
19,增加对象序列属性,AddSeqRecord,"SSProcess.AddSeqRecord(geoID,fieldNames,filedValues,seqTableName)","增加对象序列属性 Online Help 增加对象序列属性 AddSeqRecord 函数 AddSeqRecord 函数 增加对象序列属性 SSProcess.AddSeqRecord(geoID,fieldNames,filedValues,seqTableName) 参数 geoID 地物 I"
20,执行修改选择集操作,ChangeSelectionObj,SSProcess.ChangeSelectionObj(),执行修改选择集操作 Online Help 执行修改选择集操作 ChangeSelectionObj 函数 ChangeSelectionObj 函数 执行修改选择集操作。 SSProcess.ChangeSelectionObj() 参数 说明 该函数根据 SetChangeSelectionPa
21,修改选择集内对象的属性,ChangeSelectionObjAttr,"SSProcess.ChangeSelectionObjAttr( attrField, attrValue)","修改选择集内对象的属性 Online Help 修改选择集内对象的属性 ChangeSelectionObjAttr 函数 ChangeSelectionObjAttr 函数 修改选择集内对象的属性。 SSProcess.ChangeSelectionObjAttr( attrField, attr"
22,清空选择集修改参数,ClearChangeSelectionParameter,SSProcess.ClearChangeSelectionParameter(),清空选择集修改参数 Online Help 清空选择集修改参数 ClearChangeSelectionParameter 函数 ClearChangeSelectionParameter 函数 清空选择集修改参数。 SSProcess.ClearChangeSelectionParameter()
23,删除选择集对象中落在图幅边线上接边点,ClearSelectionObjOnFramePoint,"SSProcess.ClearSelectionObjOnFramePoint (onlineLimit,offset)",删除选择集对象中落在图幅边线上接边点 Online Help 删除选择集对象中落在图幅边线上接边点 ClearSelectionObjOnFramePoint 函数 ClearSelectionObjOnFramePoint 函数 删除选择集对象中落在图幅边线上接边点。 SSProcess.Clea
24,复制当前选择集指定地物,CloneSelGeo,SSProcess.CloneSelGeo(index),复制当前选择集指定地物 Online Help 复制当前选择集指定地物 CloneSelGeo 函数 CloneSelGeo 函数 复制当前选择集指定地物 SSProcess.CloneSelGeo(index) 参数 index 选择集中地物索引号 说明 该函数用于复制当前选择集指定地物。 示例 
25,复制当前选择集指定注记,CloneSelNote,SSProcess.CloneSelNote(index),复制当前选择集指定注记 Online Help 复制当前选择集指定注记 CloneSelNote 函数 CloneSelNote 函数 复制当前选择集指定注记 SSProcess.CloneSelNote(index) 参数 index 对象序号 说明 该函数用于复制当前选择集指定注记。 示例 Su
26,面属性转换到LABEL点属性,CopyAreaAttrToLabel,"SSProcess.CopyAreaAttrToLabel( areaLayer, labelLayer)","面属性转换到LABEL点属性 Online Help 面属性转换到 LABEL 点属性 CopyAreaAttrToLabel 函数 CopyAreaAttrToLabel 函数 面属性转换到 LABEL 点属性。 SSProcess.CopyAreaAttrToLabel( areaLayer, "
27,LABEL点属性转换到面属性,CopyLabelAttrToArea,"SSProcess.CopyLabelAttrToArea( labelLayer, areaLayer)","LABEL点属性转换到面属性 Online Help LABEL 点属性转换到面属性 CopyLabelAttrToArea 函数 CopyLabelAttrToArea 函数 LABEL 点属性转换到面属性。 SSProcess.CopyLabelAttrToArea( labelLayer, a"
28,创建新图形对象,CreateNewObj,SSProcess.CreateNewObj( type ),创建新图形对象 Online Help 创建新图形对象 CreateNewObj 函数 CreateNewObj 函数 创建新图形对象。 SSProcess.CreateNewObj( type ) 参数 type 创建新对象类型，包括 0 （点） 1 （线） 2 （面） 3 （注记） 说明 执行该
29,根据注记分类号创建新图形对象,CreateNewObjByClass,SSProcess.CreateNewObjByClass( fontclass ),根据注记分类号创建新图形对象 Online Help 根据注记分类号创建新图形对象 CreateNewObjByClass 函数 CreateNewObjByClass 函数 根据注记分类号创建新图形对象。 SSProcess.CreateNewObjByClass( fontclass ) 参数 
30,根据地物编码创建新图形对象,CreateNewObjByCode,SSProcess.CreateNewObjByCode( code ),根据地物编码创建新图形对象 Online Help 根据地物编码创建新图形对象 CreateNewObjByCode 函数 CreateNewObjByCode 函数 根据地物编码创建新图形对象。 SSProcess.CreateNewObjByCode( code ) 参数 code 创建地物的编
31,删除图层,DeleteLayer,SSProcess.DeleteLayer(layerName),删除图层 Online Help 删除图层 DeleteLayer 函数 DeleteLayer 函数 删除图层。 SSProcess.DeleteLayer(layerName) 参数 layerName 要删除的图层名称 说明 执行该函数，将先删除图层内的所有对象，后删除图层。 示例 下面示例删
32,删除新创建图形对象,DeleteNewObj,SSProcess.DeleteNewObj(),删除新创建图形对象 Online Help 删除新创建图形对象 DeleteNewObj 函数 DeltetNewObj 函数 删除新创建图形对象。 SSProcess.DeleteNewObj() 参数 说明 执行该函数，将删当前新创建对象。 示例 下面示例添加新对象到数据库： Sub OnCli
33,删除图形对象,DeleteObject,SSProcess.DeleteObject (geoID),删除图形对象 Online Help 删除图形对象 DeleteObject 函数 DeleteObject 函数 删除图形对象。 SSProcess.DeleteObject (geoID) 参数 geoID 要删除的图形 ID 说明 执行该函数，将删除指定 ID 的地物。 示例 Sub OnCl
34,删除图形对象的空间点,DeleteObjectPoint,"SSProcess.DeleteObjectPoint (geoID,pointIndex,delPointCount)","删除图形对象的空间点 Online Help 删除图形对象的空间点 DeleteObjectPoint 函数 DeleteObjectPoint 函数 删除图形对象的空间点。 SSProcess.DeleteObjectPoint (geoID,pointIndex,delPointCount) 参"
35,删除选择集对象,DeleteSelectionObj,SSProcess.DeleteSelectionObj(),删除选择集对象 Online Help 删除选择集对象 DeleteSelectionObj 函数 DeleteSelectionObj 函数 删除选择集内的所有对象。 SSProcess.DeleteSelectionObj() 参数 说明 执行该函数，将删除选择集内的所有对象。 示例 下面示例删
36,删除当前选择集指定地物的空间点,DeleteSelGeoPoint,"SSProcess.DeleteSelGeoPoint( index,pointindex)","删除当前选择集指定地物的空间点 Online Help 删除当前选择集指定地物的空间点 DeleteSelGeoPoint 函数 DeleteSelGeoPoint 函数 删除当前选择集指定地物的空间点。 SSProcess.DeleteSelGeoPoint( index,pointindex) "
37,删除当前选择集指定注记的空间点,DeleteSelNotePoint,"SSProcess.DeleteSelNotePoint( index,pointindex )","删除当前选择集指定注记的空间点 Online Help 删除当前选择集指定注记的空间点 DeleteSelNotePoint 函数 DeleteSelNotePoint 函数 删除当前选择集指定注记的空间点。 SSProcess.DeleteSelNotePoint( index,pointinde"
38,删除对象序列属性,DeleteSeqRecord,"SSProcess.DeleteSeqRecord(geoID,seqID,seqTableName)","删除对象序列属性 Online Help 删除对象序列属性 DeleteSeqRecord 函数 DeleteSeqRecord 函数 删除对象序列属性。 SSProcess.DeleteSeqRecord(geoID,seqID,seqTableName) 参数 geoID 地物 ID seqID"
39,删除当前选择集指定地物,DelSelGeo,SSProcess.DelSelGeo(index),"删除当前选择集指定地物 Online Help 删除当前选择集指定地物 DelSelGeo 函数 DelSelGeo 函数 删除当前选择集指定地物。 SSProcess.DelSelGeo(index) 参数 index 选择集地物的索引号 , 从 0 开始 说明 执行该函数，将删除当前选择集中指定"
40,删除当前选择集指定注记,DelSelNote,SSProcess.DelSelNote( index ),"删除当前选择集指定注记 Online Help 删除当前选择集指定注记 DelSelNote 函数 DelSelNote 函数 删除当前选择集指定注记。 SSProcess.DelSelNote( index ) 参数 index 选择集注记的索引号 , 从 0 开始 说明 执行该函数，将删除当前选"
41,对象打散,ExplodeObj,"SSProcess.ExplodeObj(objID,explodeWay,delsrcObj,callbackFunctionName)","对象打散 Online Help 对象打散 ExplodeObj 函数 ExplodeObj 函数 对象打散。 SSProcess.ExplodeObj(objID,explodeWay,delsrcObj,callbackFunctionName) 参数 objID 对象 ID explodeWa"
42,打散选择集对象,ExplodeSelectionObj,"SSProcess.ExplodeSelectionObj( explodeWay, delSrcObj, callbackFunctionName)","打散选择集对象 Online Help 打散选择集对象 ExplodeSelectionObj 函数 ExplodeSelectionObj 函数 打散选择集内的所有对象。 SSProcess.ExplodeSelectionObj( explodeWay, delSrcObj, callbackF"
43,数据输出到二进制流,ExportDataToStream,SSProcess.ExportDataToStream(byteObjList),数据输出到二进制流 Online Help 数据输出到二进制流 ExportDataToStream 函数 ExportDataToStream 函数 数据输出到二进制流。 SSProcess.ExportDataToStream(byteObjList) 参数 byteObjList 二进制对象列
44,房产库数据输出到二进制流,ExportDataToStream4House,"SSProcess.ExportDataToStream4House(dataType ， fromSelection,byteObjList)",房产库数据输出到二进制流 Online Help 房产库数据输出到二进制流 ExportDataToStream4House 函数 ExportDataToStream4House 函数 房产数据输出到二进制流。 SSProcess.ExportDataToStream4House(dataType
45,选择集内对象节点抽稀,FilterSelectionObjVertex,"SSProcess.FilterSelectionObjVertex(miniDistV, miniDistH ,saveHeightMark, saveSurveyPoint, saveTurnPoint, saveFramePoint)","选择集内对象节点抽稀 Online Help 选择集内对象节点抽稀 FilterSelectionObjVertex 函数 FilterSelectionObjVertex 函数 选择集内对象节点抽稀。 SSProcess.FilterSelectionObjVertex(miniDistV, mi"
46,根据SQL条件查找编码,FindFeatureCode,"SSProcess.FindFeatureCode(featureTBName,matchConditions)","根据SQL条件查找编码 Online Help 根据 SQL 条件查找编码 FindFeatureCode 函数 FindFeatureCode 函数 根据 SQL 条件查找编码 SSProcess.FindFeatureCode(featureTBName,matchConditions) 参数 "
47,根据Byname查找编码,FindFeatureCodeByname,SSProcess.FindFeatureCodeByname(byname),根据Byname查找编码 Online Help 根据 Byname 查找编码 FindFeatureCodeByname 函数 FindFeatureCodeByname 函数 根据 Bymane 查找编码。 SSProcess.FindFeatureCodeByname(byname) 参数 b
48,根据SQL条件查找注记分类号,FindNoteClass,"SSProcess.FindNoteClass(notetemplateTBName,matchConditions)","根据SQL条件查找注记分类号 Online Help 根据 SQL 条件查找注记分类号 FindNoteClass 函数 FindNoteClass 函数 根据 SQL 条件查找注记分类号。 SSProcess.FindNoteClass(notetemplateTBName,matchCondit"
49,根据Byname查找注记分类号,FindNoteClassByname,SSProcess.FindNoteClassByname(byname),根据Byname查找注记分类号 Online Help 根据 Byname 查找注记分类号 FindNoteClassByname 函数 FindNoteClassByname 函数 根据 Byname 查找注记分类号。 SSProcess.FindNoteClassByname(byname) 参
50,求点到折线集的距离和左右方向,GetDistDir,"SSProcess.GetDistDir(geoID,X,Y,Irec,Flag)","求点到折线集的距离和左右方向 Online Help 求点到折线集的距离和左右方向 GetDistDir 函数 GetDistDir 函数 求点到折线集的距离和左右方向。 SSProcess.GetDistDir(geoID,X,Y,Irec,Flag) 参数 geoID 折线集的 ID X 点到 "
51,查找指定地物最近边索引,GetNearDist,"SSProcess.GetNearDist(geoID,x,y,index)","查找指定地物最近边索引 Online Help 查找指定地物最近边索引 GetNearDist 函数 GetNearDist 函数 查找指定地物最近边索引。 SSProcess.GetNearDist(geoID,x,y,index) 参数 geoID 被查找地物 ID x 查找位置（点）的 X 坐"
52,查找指定地物最近点索引,GetNearPointIndex,"SSProcess.GetNearPointIndex( geoID, x, y)","查找指定地物最近点索引 Online Help 查找指定地物最近点索引 GetNearPointIndex 函数 GetNearPointIndex 函数 查找指定地物最近点索引。 SSProcess.GetNearPointIndex( geoID, x, y) 参数 geoID 地物 ID x "
53,获取新创建对象句柄,GetNewObjHandle,SSProcess.GetNewObjHandle (),获取新创建对象句柄 Online Help 获取新创建对象句柄 GetNewObjHandle 函数 GetNewObjHandle 函数 获取新创建对象句柄。 SSProcess.GetNewObjHandle () 参数 说明 使用此函数将获取新创建对象句柄 示例 Sub OnClick() S
54,获取对象属性,GetObjectAttr,"SSProcess.GetObjectAttr( geoID, attrField)","获取对象属性 Online Help 获取对象属性 GetObjectAttr 函数 GetObjectAttr 函数 获取对象属性。 SSProcess.GetObjectAttr( geoID, attrField) 参数 geoID 地物 ID attrField 要获取的属性字段名称 , 见"
55,获取多边形的焦点,GetObjectFocusPoint,"SSProcess.GetObjectFocusPoint( geoID, x, y)","获取多边形的焦点 Online Help 获取多边形的焦点 GetObjectFocusPoint 函数 GetObjectFocusPoint 函数 获取多边形的焦点。 SSProcess.GetObjectFocusPoint( geoID, x, y) 参数 geoID 地物 ID x 返回的"
56,获取多边形在图幅内的焦点,GetObjectFocusPointInFrame,"SSProcess.GetObjectFocusPointInFrame(geoID,frmCenterX,frmCenterY,x,y)",获取多边形在图幅内的焦点 Online Help 获取多边形在图幅内的焦点 GetObjectFocusPointInFrame 函数 GetObjectFocusPointInFrame 函数 获取多边形在图幅内的焦点。 SSProcess.GetObjectFocusPointInFrame(g
57,获取指定地物的空间点信息,GetObjectPoint,"SSProcess.GetObjectPoint(id,pointindex,x,y,z,ptype,name)","获取指定地物的空间点信息 Online Help 获取指定地物的空间点信息 GetObjectPoint 函数 GetObjectPoint 函数 获取指定地物空间点信息。 SSProcess.GetObjectPoint(id,pointindex,x,y,z,ptype,name) 参数 id "
58,获取指定位置点高程值,GetPointHeight,"SSProcess.GetPointHeight(x,y,fromMode)","获取指定位置点高程值 Online Help 获取指定位置点高程值 GetPointHeight 函数 GetPointHeight 函数 获取指定位置点高程。 SSProcess.GetPointHeight(x,y,fromMode) 参数 x 位置点屏幕坐标 x y 位置点屏幕坐标 y fro"
59,获取当前选择集地物个数,GetSelGeoCount,SSProcess.GetSelGeoCount(),获取当前选择集地物个数 Online Help 获取当前选择集地物个数 GetSelGeoCount 函数 GetSelGeoCount 函数 获取当前选择集地物个数。 SSProcess.GetSelGeoCount() 参数 说明 执行该函数，将获取执行 SelectFilter 函数后当前选择
60,获取选择集图形句柄,GetSelGeoHandle,SSProcess.GetSelGeoHandle (index),获取选择集图形句柄 Online Help 获取选择集图形句柄 GetSelGeoHandle 函数 GetSelGeoHandle 函数 获取选择集图形句柄。 SSProcess.GetSelGeoHandle (index) 参数 index 选择集地物的索引号，从 0 开始 说明 使用此函数获
61,获取当前选择集指定地物的空间点信息,GetSelGeoPoint,"SSProcess.GetSelGeoPoint( index, pointindex, x, y, z, point type, name )","获取当前选择集指定地物的空间点信息 Online Help 获取当前选择集指定地物的空间点信息 GetSelGeoPoint 函数 GetSelGeoPoint 函数 获取当前选择集指定地物的空间点信息。 SSProcess.GetSelGeoPoint( index, pointindex, x,"
62,获取当前选择集指定地物的点数,GetSelGeoPointCount,SSProcess.GetSelGeoPointCount( index ),获取当前选择集指定地物的点数 Online Help 获取当前选择集指定地物的点数 GetSelGeoPointCount 函数 GetSelGeoPointCount 函数 获取当前选择集指定地物的点数。 SSProcess.GetSelGeoPointCount( index ) 参数 inde
63,获取当前选择集指定地物的属性,GetSelGeoValue,"SSProcess.GetSelGeoValue( index, attrField)","获取当前选择集指定地物的属性 Online Help 获取当前选择集指定地物的属性 GetSelGeoValue 函数 GetSelGeoValue 函数 获取当前选择集指定地物的属性。 SSProcess.GetSelGeoValue( index, attrField) 参数 index 选择集"
64,获取当前选择集注记个数,GetSelNoteCount,SSProcess.GetSelNoteCount(),获取当前选择集注记个数 Online Help 获取当前选择集注记个数 GetSelNoteCount 函数 GetSelNoteCount 函数 获取当前选择集注记个数。 SSProcess.GetSelNoteCount() 参数 说明 执行该函数，将获取执行 SelectFilter 函数后当
65,获取选择集注记句柄,GetSelNoteHandle,SSProcess.GetSelNoteHandle(index),"获取选择集注记句柄 Online Help 获取选择集注记句柄 GetSelNoteHandle 函数 GetSelNoteHandle 函数 获取选择集注记句柄。 SSProcess.GetSelNoteHandle(index) 参数 index 选择集地物的索引号 , 从 0 开始 说明 此函"
66,获取当前选择集指定注记的空间点信息,GetSelNotePoint,"SSProcess.GetSelNotePoint( index, pointindex, x, y, z, point type, name )","获取当前选择集指定注记的空间点信息 Online Help 获取当前选择集指定注记的空间点信息 GetSelNotePoint 函数 GetSelNotePoint 函数 获取当前选择集指定注记的空间点信息。 SSProcess.GetSelNotePoint( index, pointindex,"
67,获取当前选择集指定注记的点数,GetSelNotePointCount,SSProcess.GetSelNotePointCount( index ),获取当前选择集指定注记的点数 Online Help 获取当前选择集指定注记的点数 GetSelNotePointCount 函数 GetSelNotePointCount 函数 获取当前选择集指定注记的点数。 SSProcess.GetSelNotePointCount( index ) 参数 i
68,获取当前选择集指定注记的属性,GetSelNoteValue,"SSProcess.GetSelNoteValue( index, attrField)","获取当前选择集指定注记的属性 Online Help 获取当前选择集指定注记的属性 GetSelNoteValue 函数 GetSelNoteValue 函数 获取当前选择集指定注记的属性。 SSProcess.GetSelNoteValue( index, attrField) 参数 index "
69,获取选择集内容句柄,GetSelObjHandle,SSProcess.GetSelObjHandle(),获取选择集内容句柄 Online Help 获取选择集内容句柄 GetSelObjHandle 函数 GetSelObjHandle 函数 获取选择集内容句柄。 SSProcess.GetSelObjHandle() 参数 说明 执行该函数，将获取选择集的内容句柄。 示例 Sub OnClick()
