ID,DJH,ZL,ZDMJ,JianZZDMJ,JianZZMJ,JZMD,JZXG,TuDLYLB,QLR,ShangJGC,XiaJGC,ZongGD,DiEJGD,WaiDMGD,CeLY,CeLRQ,CeLDW,ZhiTY,ZhiTRQ,PZMJ,YSDM,DYBLC,DYZSX,DYZSY,DYFWK,DYFWG,GuiHJJMJ,GuiHJZMJ,QuYBZ,SZB,SZD,SZN,SZX
0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
3,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
4,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
5,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
6,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
7,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
8,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
9,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
10,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
11,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
12,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
13,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
14,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
15,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
16,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
17,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
18,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
19,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
20,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
21,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
