序号,DJH_地籍号,ZL_坐落,QLR_权利人,ZhiTY_制图员,ZhiTRQ_制图日期,CeLY_测量员,YSDM_要素代码,ZDMJ_宗地面积,坐标点数,多边形坐标_x_y
01,233T2026090801,测试网格地块01,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2000.0,2000.0;2000.0,2100.0;2100.0,2100.0;2100.0,2000.0;2000.0,2000.0"
02,233T2026090802,测试网格地块02,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2250.0,2000.0;2250.0,2100.0;2350.0,2100.0;2350.0,2000.0;2250.0,2000.0"
03,233T2026090803,测试网格地块03,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2500.0,2000.0;2500.0,2100.0;2600.0,2100.0;2600.0,2000.0;2500.0,2000.0"
04,233T2026090804,测试网格地块04,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2750.0,2000.0;2750.0,2100.0;2850.0,2100.0;2850.0,2000.0;2750.0,2000.0"
05,233T2026090805,测试网格地块05,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2000.0,2250.0;2000.0,2350.0;2100.0,2350.0;2100.0,2250.0;2000.0,2250.0"
06,233T2026090806,测试网格地块06,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2250.0,2250.0;2250.0,2350.0;2350.0,2350.0;2350.0,2250.0;2250.0,2250.0"
07,233T2026090807,测试网格地块07,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2500.0,2250.0;2500.0,2350.0;2600.0,2350.0;2600.0,2250.0;2500.0,2250.0"
08,233T2026090808,测试网格地块08,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2750.0,2250.0;2750.0,2350.0;2850.0,2350.0;2850.0,2250.0;2750.0,2250.0"
09,233T2026090809,测试网格地块09,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2000.0,2500.0;2000.0,2600.0;2100.0,2600.0;2100.0,2500.0;2000.0,2500.0"
10,233T2026090810,测试网格地块10,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2250.0,2500.0;2250.0,2600.0;2350.0,2600.0;2350.0,2500.0;2250.0,2500.0"
11,233T2026090811,测试网格地块11,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2500.0,2500.0;2500.0,2600.0;2600.0,2600.0;2600.0,2500.0;2500.0,2500.0"
12,233T2026090812,测试网格地块12,测试权利人,233,2026-09-08,233,6001010000,10000,5,"2750.0,2500.0;2750.0,2600.0;2850.0,2600.0;2850.0,2500.0;2750.0,2500.0"
